title,artist,year,Predicted_Genre,True_Genre,file_path
Muak,Aruma,2023,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/6r5Bj_7VPwE - Aruma - Muak (Official Music Video).mp3
Rehat,Kunto Aji,2020,Pop,Indie,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/rJ0ECZz8re0 - Kunto Aji - Rehat (Official Audio).mp3
Sisa Rasa,Mahalini,2023,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/Wh66ThpxvI4 - MAHALINI - SISA RASA (OFFICIAL MUSIC VIDEO).mp3
KOD,J. Cole,2018,Hip Hop,Hip Hop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2018/ciya_AQu25o - KOD.mp3
Sedia Aku Sebelum Hujan,Idgitaf,2025,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2025/yIPX-FNJ9qk - Idgitaf - Sedia Aku Sebelum Hujan (Official Lyric Video).mp3
God's Plan,Drake,2019,Hip Hop,Hip Hop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2018/m1a_GqJf02M - God's Plan.mp3
Kau Rumahku,Raissa Anggiani,2023,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/ZjNVi0iY7Ys - Raissa Anggiani (Rai) - Kau Rumahku (Official Audio).mp3
Young Dumb & Broke,Khalid,2018,R&B,R&B,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2018/g9Aaf1fWdLQ - Khalid - Young Dumb & Broke (Audio).mp3
Let It Go,James Bay,2016,Pop,Folk,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/-SWJSL8uhr8 - James Bay 'Let It Go' [Audio].mp3
Always,Daniel Caesar,2025,Soul,Soul,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/pKFd12id5oQ - Daniel Caesar - Always (Official Audio).mp3
Everglow,Coldplay,2016,Pop,Rock,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/2PFE2IJhlhQ - Everglow.mp3
We Don’t Talk Anymore (feat. Selena Gomez),Charlie Puth,2016,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/Pvcc5yEPpTc - Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) (Audio).mp3
MONEY,LISA,2022,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/vrZA5m4DBr4 - LISA - MONEY [Audio].mp3
Made You Look,Meghan Trainor,2023,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/gPCCYMeXin0 - Meghan Trainor - Made You Look (Official Music Video).mp3
Pura Pura Lupa,Mahen,2020,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/e8xGA0bLk2I - Mahen - Pura Pura Lupa (Official Lyric Video).mp3
Sial,Mahalini,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/QSWYyoF79oE - MAHALINI - SIAL (OFFICIAL MUSIC VIDEO).mp3
Kupu - Kupu,Tiara Andini,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2024/_A43rHc-VXg - Tiara Andini – Kupu - Kupu (Official Lyric Video).mp3
7 rings,Ariana Grande,2025,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2019/M84fFXooS5w - Ariana Grande - 7 rings (Official Audio).mp3
Peri Cintaku,Ziva Magnolya,2023,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/NXe1lCqkTe4 - Ziva Magnolya - Peri Cintaku (Official Lyric Video).mp3
Serana,For Revenge,2023,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/bGsMkd8qHWI - For Revenge - Serana (Official Lyric Video).mp3
One Call Away,Charlie Puth,2016,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/3lcSFAItC4E - Charlie Puth - One Call Away Official Audio.mp3
In My Feelings,Drake,2018,Hip Hop,Hip Hop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2018/SD1tkI5-3dI - In My Feelings.mp3
Bertaut,Nadin Amizah,2021,Indie,Indie,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/uEwQtDZjFKs - Nadin Amizah - Bertaut (Official Lyric Video).mp3
Shape of You,Ed Sheeran,2019,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/_dK2tDK9grQ - Ed Sheeran - Shape Of You [Official Lyric Video].mp3
So Easy (To Fall In Love),Olivia Dean,2025,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2025/3sur4BmjQt8 - Olivia Dean - So Easy (To Fall In Love).mp3
Drowning (feat. Kodak Black),A Boogie wit da Hoodie,2017,Hip Hop,Hip Hop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/rvaJ7QlhH0g - A Boogie Wit Da Hoodie - Drowning (feat. Kodak Black) [Official Audio].mp3
Dynamite,BTS,2020,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/OiMWFojB9Ok - BTS (방탄소년단) - DYNAMITE (Official Audio).mp3
"10,000 Hours",Dan + Shay,2020,Country,Country,"c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/rdXTZAr1zBY - Dan + Shay, Justin Bieber - 10,000 Hours (Audio).mp3"
Always,Daniel Caesar,2023,Soul,Soul,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/pKFd12id5oQ - Daniel Caesar - Always (Official Audio).mp3
Tertawan Hati,Awdella,2023,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/XQzHF8DGYp8 - AWDELLA - TERTAWAN HATI (OFFICIAL MUSIC VIDEO).mp3
Kita Ke Sana,Hindia,2025,Indie,Indie,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2025/DrulgpXAGCA - Hindia - Kita ke Sana (Official Lyric Video).mp3
34+35,Ariana Grande,2021,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/lR5raZbD7fE - 34+35.mp3
ocean eyes,Billie Eilish,2025,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2019/d--DyK0wtYo - Billie Eilish - Ocean Eyes (Official Audio) - Lyrics In Description.mp3
abcdefu,GAYLE,2022,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/NaFd8ucHLuo - GAYLE - abcdefu (Official Music Video).mp3
DARARI,TREASURE,2022,Country,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/iqH-TkQ6CyM - TREASURE (트레저) - 다라리 (DARARI) (Audio).mp3
All Too Well (10 Minute Version) [Taylor's Version] [From The Vault],Taylor Swift,2025,Country,Country,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/sRxrwjOtIag - All Too Well (10 Minute Version) (Taylor's Version) (From The Vault) (Lyric Video).mp3
Runtuh,Feby Putri,2022,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/YrtS8MESh0I - Runtuh - Feby Putri feat. Fiersa Besari (Official Visualizer).mp3
ours to keep (feat. ADIS),Kendis,2025,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2025/hv-tflI7pM4 - Kendis - ours to keep (feat. adis) (Official Lyric Video).mp3
Blank Space,Taylor Swift,2023,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/2mIBS3fHp6A - Taylor Swift - Blank Space (Audio).mp3
Love Me Like You Do,Ellie Goulding,2016,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/725WlG1idPc - Ellie Goulding - Love Me Like You Do (Official Audio).mp3
Sour Candy,Lady Gaga,2020,Pop,Pop,"c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/fnPn6At3v28 - Lady Gaga, BLACKPINK - Sour Candy (Audio).mp3"
So Easy (To Fall In Love),Olivia Dean,2025,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2025/3sur4BmjQt8 - Olivia Dean - So Easy (To Fall In Love).mp3
Man I Need,Olivia Dean,2025,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2025/JGKgbmz_gcU - Olivia Dean - Man I Need (Lyric Video).mp3
Close Friends,Lil Baby,2019,Hip Hop,Hip Hop,"c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2019/nClKdcnzVsc - Lil Baby, Gunna - Close Friends (Audio).mp3"
STAY,The Kid LAROI,2022,Hip Hop,Hip Hop,"c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/pd1_SxHh2vo - The Kid LAROI, Justin Bieber - Stay (Official Lyric Video).mp3"
Bertaut,Nadin Amizah,2024,Indie,Indie,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/uEwQtDZjFKs - Nadin Amizah - Bertaut (Official Lyric Video).mp3
APT.,ROSÉ,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2024/8Ebqe2Dbzls - ROSÉ & Bruno Mars - APT. (Official Lyric Video).mp3
Lush Life,Zara Larsson,2016,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/MysKegBRtaA - Zara Larsson - Lush Life (Official Audio).mp3
Favorite Girl,Justin Bieber,2022,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/oHeQtFCeGlU - Justin Bieber - Favorite Girl (Lyrics).mp3
Permission to Dance,BTS,2022,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/CuklIb9d3fI - BTS (방탄소년단) 'Permission to Dance' Official MV.mp3
Ice Cream,BLACKPINK,2021,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/XAtDVHSE0UE - BLACKPINK - 'Ice Cream (with Selena Gomez)' Audio.mp3
Pilihan Yang Terbaik,Ziva Magnolya,2022,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/p8y3b2hAXxY - Ziva Magnolya - Pilihan Yang Terbaik (Official Lyric Video).mp3
God's Plan,Drake,2019,Hip Hop,Hip Hop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2018/m1a_GqJf02M - God's Plan.mp3
Say You Won't Let Go,James Arthur,2016,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/0yW7w8F2TVA - James Arthur - Say You Won't Let Go.mp3
Ku Ingin Pisah,Nabila Taqiyyah,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2024/AbIDpaRkdCY - Nabila Taqiyyah - Ku Ingin Pisah (Official Lyric Video).mp3
It's You,Sezairi,2021,Soul,Soul,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/1ieSEOX5OEE - Sezairi - It's You (Official Audio).mp3
Adu Rayu,Yovie Widianto,2025,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/rfWRkrhN2bA - Yovie Tulus Glenn - Adu Rayu (OFFICIAL LYRIC VIDEO).mp3
Ghost,Justin Bieber,2023,Electronic,Electronic,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/KRUWn3dLoRg - Justin Bieber - Ghost (Visualizer).mp3
Shape of You,Ed Sheeran,2017,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/_dK2tDK9grQ - Ed Sheeran - Shape Of You [Official Lyric Video].mp3
Calling My Spirit,Kodak Black,2019,Hip Hop,Hip Hop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2019/ppSY98RGyBU - Kodak Black - Calling My Spirit [Official Video].mp3
Gone,ROSÉ,2021,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/K9_VFxzCuQ0 - ROSÉ - 'Gone' M⧸V.mp3
Wow.,Post Malone,2019,Hip Hop,Hip Hop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2019/NA4uIFbVCPM - Post Malone - Wow. (Official Audio).mp3
Pikiran Yang Matang,Perunggu,2025,Indie,Indie,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2025/LfzUuUbC524 - Perunggu - Pikiran Yang Matang (Official Lyric Video).mp3
Akhir Cerita Cinta,Glenn Fredly,2021,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/dO7TUKGFui8 - Glenn Fredly - Akhir Cerita Cinta (Official Audio).mp3
Shape of You,Ed Sheeran,2018,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/_dK2tDK9grQ - Ed Sheeran - Shape Of You [Official Lyric Video].mp3
Pamit,Tulus,2016,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/3xNp8sjMOiU - TULUS - Pamit (Official Lyric Video).mp3
Close Friends,Lil Baby,2019,Hip Hop,Hip Hop,"c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2019/nClKdcnzVsc - Lil Baby, Gunna - Close Friends (Audio).mp3"
Where Are Ü Now (with Justin Bieber),Jack Ü,2015,Electronic,Electronic,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/nntGTK2Fhb0 - Skrillex and Diplo - ＂Where Are Ü Now＂ with Justin Bieber (Official Video).mp3
Nice For What,Drake,2019,Hip Hop,Hip Hop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2018/U9BwWKXjVaI - Drake - Nice For What.mp3
Sorry Not Sorry,Demi Lovato,2017,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/FyqjDe9e_hE - Demi Lovato - Sorry Not Sorry (Audio Only).mp3
Blank Space,Taylor Swift,2023,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/2mIBS3fHp6A - Taylor Swift - Blank Space (Audio).mp3
Akhir Cerita Cinta,Glenn Fredly,2022,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/dO7TUKGFui8 - Glenn Fredly - Akhir Cerita Cinta (Official Audio).mp3
bad guy,Billie Eilish,2020,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2019/YD4utuFiexw - Billie Eilish - bad guy (Audio).mp3
Christmas Tree,V,2022,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/1oq8Iesr1AU - [OFFICIAL AUDIO] V - Christmas Tree ：： 그 해 우리는(Our Beloved Summer) OST Part.5.mp3
Sign of the Times,Harry Styles,2017,Pop,Rock,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/z0GKGpObgPY - Harry Styles - Sign of the Times (Audio).mp3
Meant to Be,Bebe Rexha,2018,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2018/zDo0H8Fm7d0 - Bebe Rexha - Meant to Be (feat. Florida Georgia Line) [Official Music Video].mp3
SICKO MODE,Travis Scott,2018,Hip Hop,Hip Hop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2018/d-JBBNg8YKs - Travis Scott - SICKO MODE (Audio).mp3
Left and Right,Charlie Puth,2022,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/a7GITgqwDVg - Charlie Puth - Left And Right (feat. Jung Kook of BTS) [Official Video].mp3
traitor,Olivia Rodrigo,2021,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/6tsu2oeZJgo - Olivia Rodrigo - traitor (Lyric Video).mp3
Jocelyn Flores,XXXTENTACION,2018,Hip Hop,Hip Hop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2018/FAucVNRx_mU - XXXTENTACION - Jocelyn Flores (Audio).mp3
MIDDLE CHILD,J. Cole,2019,Hip Hop,Hip Hop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2019/e8CLsYzE5wk - J. Cole - MIDDLE CHILD (Official Audio).mp3
Melawan Restu,Mahalini,2022,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/Svz5F8J1Ap0 - MAHALINI - MELAWAN RESTU (OFFICIAL MUSIC VIDEO).mp3
Lesung Pipi,Raim Laode,2025,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2025/mJE0ROBWPvY - Raim Laode - Lesung Pipi ( video lirik official ).mp3
Love Lies,Khalid,2018,Soul,Soul,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2018/izIyhdEHSPo - Khalid & Normani - Love Lies (Official Audio).mp3
ours to keep (feat. ADIS),Kendis,2025,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2025/hv-tflI7pM4 - Kendis - ours to keep (feat. adis) (Official Lyric Video).mp3
Super Shy,NewJeans,2023,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/n7ePZLn9_lQ - Super Shy.mp3
I'm Upset,Drake,2018,Hip Hop,Hip Hop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2018/wS4ESheuHDY - Drake - I'm Upset (Official Audio).mp3
My Universe,Coldplay,2022,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/bZYPI4mYwhw - Coldplay X BTS - My Universe (Official Lyric Video).mp3
What Do You Mean?,Justin Bieber,2016,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/NywWB67Z7zQ - Justin Bieber - What Do You Mean？ (Lyric Video).mp3
Bodak Yellow,Cardi B,2017,Hip Hop,Hip Hop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/PEGccV-NOm8 - Cardi B - Bodak Yellow [OFFICIAL MUSIC VIDEO].mp3
HAHAHA,Juicy Luicy,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2024/y5f0mqXJJCU - Juicy Luicy - HAHAHA (Official Lyric Video).mp3
YOUTH,Troye Sivan,2016,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/Io2Yjy3nV_c - Troye Sivan - YOUTH (Lyric Video).mp3
Kini Mereka Tahu,Bernadya,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2024/nXOfv4-tT9o - Bernadya - Kini Mereka Tahu (Official Video).mp3
Blue Ain't Your Color,Keith Urban,2017,Country,Country,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/N6Z_iyd7MIQ - Keith Urban - Blue Ain't Your Color (Official Audio).mp3
Happy,Skinnyfabs,2021,Pop,Indie,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/qiQn5tYXdGA - skinnyfabs - happy (audio).mp3
Peri Cintaku,Ziva Magnolya,2022,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/NXe1lCqkTe4 - Ziva Magnolya - Peri Cintaku (Official Lyric Video).mp3
Please Please Please,Sabrina Carpenter,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2024/Yl_thbk40A0 - Sabrina Carpenter - Please Please Please (Lyric Video).mp3
Mean It,Lauv,2020,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/mAxMNppfUp4 - Lauv & LANY - Mean It [Official Visualizer].mp3
Watermelon Sugar,Harry Styles,2021,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/7-x3uD5z1bQ - Harry Styles - Watermelon Sugar (Official Audio).mp3
Manchild,Sabrina Carpenter,2025,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2025/BlTopk-muo4 - Manchild.mp3
Hurts So Good,Astrid S,2021,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/4fqwVBuunxY - Astrid S - Hurts So Good.mp3
Lover,Taylor Swift,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/cvUAzpn48xA - Taylor Swift - Lover (Official Lyric Video).mp3
Tak Ada Ujungnya,Rony Parulian,2025,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2025/20mna4uNz5w - Rony Parulian - Tak Ada Ujungnya (Official Lyric Video).mp3
Celengan Rindu,Fiersa Besari,2020,Indie,Indie,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/1zGalAgnS0U - Celengan Rindu.mp3
Murder on My Mind,YNW Melly,2019,Hip Hop,Hip Hop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2019/zFW5-ABDC-8 - YNW Melly - Murder On My MInd (Audio).mp3
Sisa Rasa,Mahalini,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/Wh66ThpxvI4 - MAHALINI - SISA RASA (OFFICIAL MUSIC VIDEO).mp3
back to friends,sombr,2025,Indie,Indie,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2025/fOQ_-gZsnYQ - sombr - back to friends (official audio).mp3
Cuek,Rizky Febian,2021,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/bKCD7WDnfJA - Rizky Febian - Cuek #GarisCinta [Official Lyric Video].mp3
My Love Mine All Mine,Mitski,2024,Pop,Indie,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2024/CwGbMYLjIpQ - Mitski - My Love Mine All Mine (Official Lyric Video).mp3
Save Your Tears (Remix),The Weeknd,2022,Indie,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/LIIDh-qI9oI - The Weeknd & Ariana Grande - Save Your Tears (Remix) (Official Video).mp3
Sofia,Clairo,2021,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/L9l8zCOwEII - Clairo - Sofia.mp3
Asmalibrasi,Soegi Bornean,2022,Indie,Indie,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/cQGfLDnmWS8 - Soegi Bornean - Asmalibrasi (Official Music Video).mp3
